"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"200-299만원","응답자","음성통화 제외","사례수","명","","887","1038","941","1231","1177","1175","1253","944","984","1217",
"200-299만원","응답자","음성통화 제외","30분 미만","%","","12.3","10.9","","","","","","","","",
"200-299만원","응답자","음성통화 제외","1시간 미만","%","","","","29.6","36.6","35.6","36.4","37","36.5","29.2","27.5",
"200-299만원","응답자","음성통화 제외","30분-1시간 미만","%","","21.3","23.4","","","","","","","","",
"200-299만원","응답자","음성통화 제외","1-2시간 미만","%","","33.2","50.1","31.2","25","30.9","28","27.2","24","24","18.6",
"200-299만원","응답자","음성통화 제외","2-3시간 미만","%","","18.4","15.5","19.1","17.6","13.2","17.4","14.4","15.6","18.7","16.7",
"200-299만원","응답자","음성통화 제외","3-4시간 미만","%","","","","8.8","9.3","7.8","8.6","9.9","10.7","11","14.6",
"200-299만원","응답자","음성통화 제외","3시간 이상","%","","14.8","","","","","","","","","",
"200-299만원","응답자","음성통화 제외","4시간이상","%","","","","11.4","11.5","12.4","9.7","11.4","13.2","17.1","22.6",
"200-299만원","응답자","음성통화 제외","평균","분","","92.3","91.8","104.5","101.1","99.1","91.7","98.3","105.2","115.6","136.7",
"200-299만원","응답자","음성통화/문자 제외","사례수","명","404","","","","","","","","","","",
"200-299만원","응답자","음성통화/문자 제외","30분 미만","%","19","","","","","","","","","","",
"200-299만원","응답자","음성통화/문자 제외","30분-1시간 미만","%","26.8","","","","","","","","","","",
"200-299만원","응답자","음성통화/문자 제외","1-2시간 미만","%","28.2","","","","","","","","","","",
"200-299만원","응답자","음성통화/문자 제외","2시간 이상","%","26","","","","","","","","","","",
"200-299만원","응답자","음성통화/문자 제외","평균","분","76.8","","","","","","","","","","",
"300-399만원","전체","음성통화 제외","사례수","명","","","","","1700","1714","","","","","",
"300-399만원","전체","음성통화 제외","1시간 미만","%","","","","","38","38.1","","","","","",
"300-399만원","전체","음성통화 제외","1-2시간 미만","%","","","","","26.2","27.6","","","","","",
"300-399만원","전체","음성통화 제외","2-3시간 미만","%","","","","","17.8","14.7","","","","","",
"300-399만원","전체","음성통화 제외","3-4시간 미만","%","","","","","7.5","9","","","","","",
"300-399만원","전체","음성통화 제외","4시간이상","%","","","","","10.5","10.6","","","","","",
"300-399만원","전체","음성통화 제외","평균","분","","","","","95","94.6","","","","","",
"300-399만원","응답자","음성통화 제외","사례수","명","","1029","1085","1171","1512","1575","1534","1444","1366","1148","1308",
"300-399만원","응답자","음성통화 제외","30분 미만","%","","10.4","13.1","","","","","","","","",
"300-399만원","응답자","음성통화 제외","1시간 미만","%","","","","32","30.3","32.7","32","29.4","29.8","25.2","23.3",
"300-399만원","응답자","음성통화 제외","30분-1시간 미만","%","","20.3","27","","","","","","","","",
"300-399만원","응답자","음성통화 제외","1-2시간 미만","%","","31.1","45.3","29.8","29.5","30.1","30.3","31.2","31.3","27.7","27.5",
