,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL
,4,4,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,3,833.6,문학 > 일본문학 > 소설,84,https://image.aladin.co.kr/product/21439/64/cover/k142636199_1.jpg
,5,5,꽁꽁꽁,윤정주 글·그림,책읽는곰,2016,9.79E+12,77810,35,813.7,문학 > 한국문학 > 소설,83,https://bookthumb-phinf.pstatic.net/cover/107/639/10763998.jpg?type=m1&udate=20180120
용산(11030),1,1,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,223,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,2,2,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,173,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,3,3,밝은 밤 :최은영 장편소설,지은이: 최은영,문학동네,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,168,https://image.aladin.co.kr/product/27541/91/cover/8954681174_1.jpg
,4,4,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,160,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
,5,5,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,159,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
은평(11120),1,1,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,173,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,2,2,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,10,833.6,문학 > 일본문학 > 소설,155,https://image.aladin.co.kr/product/26602/10/cover/k742739914_1.jpg
,3,3,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,9,833.6,문학 > 일본문학 > 소설,150,https://image.aladin.co.kr/product/25732/47/cover/k092736875_1.jpg
,4,4,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,149,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,5,5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,4,833.6,문학 > 일본문학 > 소설,145,https://bookthumb-phinf.pstatic.net/cover/124/953/12495377.jpg?type=m1&udate=20170829
종로(11010),1,1,,,,,7.05E+12,,,,,660,
,2,2,Who? 세계인물 시리즈 세트 - 전40권,"오영석 (지은이), Team.신화 (그림), 경기초등사회과교육연구회, 이랑 (감수)",다산어린이,2020,9.79E+12,,,,,265,https://image.aladin.co.kr/product/25629/71/cover/k182735214_1.jpg
